"ISSN"
"01215469"
"16579534, 01208322"
"-"
"21518629"
"00157473"
"00115029, 15578194"
"23272244, 16740068"
"20906501, 2090651X"
"00021482"
"23294957, 23294949"
"-"
"-"
"-"
"-"
"21608555"
"-"
"-"
"00182133"
"19321244"
"-"
"10461779"
"15358593"
"19378718"
"2165316X, 21653151"
"0018098X, 15535622"
"1545228X, 07317107"
"15733262, 01463721"
"00377910"
"19457553, 00903973"
"1089313X"
"21573891, 21573883"
"00205907, 15371913"
"00149128"
"15326888, 02739615"
"19338139, 00666939"
"-"
"01924788"
"-"
"-"
"-"
"-"
"08876703"
"15588599, 15588602"
"21551774"
"-"
"-"
"19349408, 10634576"
"23145137, 23145129"
"19388209, 19388322"
"0002919X"
"21610029, 15246817"
"-"
"24684481"
"10665285, 15739171"
"-"
"10959270, 10572414"
"15483894, 15483886"
"-"
"19338287, 03697827"
"00292559"
"-"
"15729567, 0195928X"
"17589983, 17589991"
"10695648, 15311929"
"01955373"
"-"
"-"
"21514798, 2151562X"
"15394468, 1539445X"
"-"
"15302059"
"-"
"-"
"1089795X"
"15313220"
"10987584"
"-"
"-"
"10275851"
"15733343, 00911674"
"00076899"
"1558108X, 01464116"
"02185377"
"-"
"10892532, 19405596"
"-"
"10863303, 10716076"
"1937786X"
"10826467, 19372426"
"-"
"-"
"15473201, 00344087"
"-"
"-"
"08857156, 19457413"
"10920811"
"00231940"
"15228053, 23336897"
"10642285"
"10879595, 15282686"
"-"
"21654816"
"19483295"
"-"
"-"
"-"
"00252344"
"17930758"
"15372456, 19435932"
"15599620, 15599612"
"19416245, 19416237"
"15255794, 1550512X"
"18746381, 07360932"
"-"
"17520118, 02659883"
"20532296"
"-"
"-"
"-"
"19376472"
"-"
"00901830"
"15440036, 15440044"
"21692785, 2167857X"
"0016626X"
"-"
"10693769"
"-"
"15427730, 15427749"
"10863265, 07381727"
"00189235"
"-"
"01726145, 21906653"
"21598126"
"1358684X"
"00087475"
"23754699, 23754702"
"19378327, 08985952"
"19345259"
"10689605, 15728129"
"-"
"03636771"
"-"
"02775786"
"-"
"20454821, 20454813"
"87556839"
"22132031, 2213204X"
"-"
"-"
"23270950"
"07479360"
"-"
"17423341, 15569187"
"10637095, 15738582"
"10829873"
"01607960, 2161007X"
"-"
"10686967"
"-"
"-"
"-"
"-"
"21505578"
"19483546"
"23793171, 23793163"
"-"
"-"
"20906617, 20906609"
"08950563"
"21948011, 2194802X"
"17432197"
"-"
"01608266"
"15326497, 1067991X"
"14725843, 14725851"
"-"
"-"
"07303157, 07306512"
"-"
"-"
"-"
"-"
"19324502, 19363567"
"10290516, 10703608"
"08893667, 21683344"
"19483449"
"10816003, 00653438"
"-"
"-"
"10636161, 19381581"
"-"
"15275949"
"10408800"
"-"
"01608371"
"15466086, 15525023"
"-"
"-"
"-"
"21680973, 21680965"
"10796533"
"-"
"19451253, 00185787"
"1046283X"
"17552923, 17552931"
"-"
"19464002, 19463995"
"-"
"-"
"-"
"-"
"15585468, 15586073"
"21658528"
"-"
"21570965"
"19253621"
"-"
"-"
"21976767, 00800015"
"-"
"-"
"-"
"-"
"10681302, 15739066"
"10926194"
"10835547"
"00223875"
"19385862, 19386737"
"19329563, 19329520"
"-"
"-"
"-"
"16879627, 16879635"
"0002936X, 15387488"
"10786791"
"09660941"
"-"
"-"
"-"
"03436993"
"15404722, 10496505"
"15551237, 15551229"
"08912513"
"-"
"-"
"-"
"-"
"15430537"
"00913723"
"20908660, 20907699"
"15203255"
"21570981"
"18653537, 18653529"
"23057254"
"-"
"-"
"-"
"-"
"01471937, 19301219"
"-"
"-"
"15278271, 10679847"
"08975353, 15404080"
"21646457, 21646473"
"10724303"
"19370709, 19370695"
"-"
"-"
"-"
"08997764, 15327736"
"-"
"-"
"15322521, 10601333"
"15558622, 19353987"
"-"
"0973077X, 13915614"
"-"
"23275626, 23275634"
"-"
"-"
"16877209, 16877195"
"1042895X, 15389766"
"15483770"
"00028444"
"14703556"
"-"
"-"
"-"
"-"
"15493644"
"1093023X"
"1933320X, 19333196"
"23307749"
"19984448"
"20764324"
"10831304"
"15301362"
"15483746"
"21653992"
"21951292, 21951284"
"19433522, 10623701"
"21603251"
"18357156"
"-"
"03608581"
"-"
"15473465"
"21566550, 21563306"
"02532964, 12295949"
"16879120, 16879139"
"-"
"-"
"15356760, 24701246"
"-"
"19380283"
"-"
"07348584, 15338541"
"15272044, 00345210"
"10986189"
"-"
"-"
"22111069, 15982386"
"15414159, 00472379"
"08898391, 1938887X"
"15571289, 15528855"
"08937400, 15471896"
"-"
"-"
"21653585"
"-"
"15653668, 19369247"
"01956167, 15338339"
"-"
"-"
"00081078"
"03601293, 21679010"
"-"
"-"
"-"
"0041462X"
"-"
"00338443, 15739120"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"17937027, 17930057"
"1445937X"
"15257886"
"2374250X, 10425055"
"20900120, 20900139"
"-"
"15206483, 10881913"
"00461121"
"-"
"-"
"-"
"00941492"
"10538364"
"18767982, 19398654"
"-"
"23148063"
"-"
"-"
"-"
"-"
"00402508, 19436009"
"-"
"-"
"-"
"15409589"
"00220892"
"-"
"03758990, 00188166"
"20902980, 20902972"
"21557195"
"18698441, 18698433"
"-"
"-"
"-"
"-"
"21651019"
"18193420"
"-"
"-"
"-"
"15277143"
"0895173X"
"00220574"
"16879791, 16879783"
"15355306, 10856633"
"-"
"-"
"-"
"21586276"
"00485713"
"-"
"-"
"21580111, 21528217"
"2326828X"
"21666814"
"1721727X"
"-"
"19430922"
"20417772, 20417764"
"16870042, 1110757X"
"19394675, 10999264"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"01971360, 19452330"
"15504646"
"18037232"
"21573611"
"10459065"
"10711813"
"-"
"-"
"-"
"-"
"-"
"0031806X"
"17539587, 17539579"
"10979751"
"18107621, 19458959"
"-"
"19984510"
"-"
"10806555, 02730340"
"00131784"
"-"
"-"
"-"
"-"
"15239896, 1539591X"
"19319525, 19319533"
"-"
"-"
"03335372"
"00995444"
"19426038, 1942602X"
"21567018, 21567026"
"01466623"
"22197117, 22197125"
"21641706"
"10724761"
"-"
"-"
"00384909, 19436262"
"-"
"-"
"-"
"-"
"-"
"15454150"
"08987564"
"07424671, 19346018"
"00185868, 19399278"
"10762175, 2162951X"
"17593441, 08120439"
"10652221"
"-"
"-"
"-"
"02761459"
"-"
"19478216, 19478208"
"23248149"
"21621039"
"23744529, 23744537"
"14682303, 00182656"
"-"
"2332886X"
"08909016"
"21577005, 21576998"
"15513688"
"24723444, 23305517"
"-"
"15530205, 1043254X"
"1054853X"
"23746793"
"-"
"21660727"
"10690565"
"0883024X"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"21505934"
"-"
"-"
"-"
"15739031, 0091150X"
"-"
"05431972, 15738906"
"22135103"
"23251077, 23251085"
"23250682"
"17504902, 20484887"
"00279048"
"-"
"-"
"-"
"-"
"-"
"01932527"
"-"
"-"
"-"
"-"
"00091774"
"19353235, 19353243"
"-"
"-"
"10639667"
"18149316"
"-"
"-"
"01915096"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"00908657"
"26399636, 26399644"
"00365637"
"19464622, 19464614"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"15551318, 1555130X"
"15493636"
"02785927"
"00132004"
"21646376, 21646414"
"-"
"-"
"-"
"19349688, 19349696"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"21646074"
"00216704, 15272028"
"-"
"00145483"
"-"
"-"
"-"
"-"
"01963228"
"1029029X, 08981507"
"00225061, 15206696"
"00222208"
"15203972"
"-"
"-"
"00946354, 21625239"
"-"
"-"
"-"
"-"
"15294188"
"-"
"-"
"1526744X"
"21954356, 21954364"
"15461955, 15461963"
"21579083, 21579091"
"16870425, 01611712"
"10834346"
"01466518"
"-"
"-"
"-"
"19475918, 00976156"
"-"
"-"
"20472900, 20472897"
"-"
"20413173, 20413165"
"10432256"
"15733645, 10413545"
"1941627X, 19416288"
"-"
"-"
"-"
"-"
"07402007, 21544689"
"00029831"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"10881697"
"15291464, 0022281X"
"1547481X"
"-"
"15734552"
"21633150, 03043754"
"-"
"-"
"-"
"-"
"-"
"-"
"2090262X, 00132446"
"00208582, 17586631"
"19416210, 19416229"
"19362625"
"-"
"00181544, 14723441"
"25142119"
"1557458X, 15574571"
"15651525, 15533956"
"-"
"-"
"-"
"-"
"-"
"-"
"00338397, 19435657"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"07402775"
"01959468, 21678529"
"05473578"
"-"
"-"
"-"
"21627568"
"10932941"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"02774208"
"15392937"
"2010314X, 1094799X"
"-"
"21574901, 21574898"
"0024094X"
"17962021"
"19473168, 1947315X"
"21620601"
"21647143"
"-"
"16873955, 16873963"
"23308516"
"21619417, 07307187"
"21611599, 21611580"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"15423050"
"10786236"
"-"
"-"
"-"
"-"
"-"
"-"
"15502414, 08827524"
"01617249"
"25729861"
"-"
"-"
"-"
"-"
"-"
"-"
"08889708"
"-"
"-"
"-"
"18600824, 16122909"
"0021969X"
"-"
"10830898"
"-"
"2161203X"
"-"
"-"
"-"
"0003018X"
"00393738"
"-"
"18164919, 21520461"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"23330937"
"-"
"-"
"01966219"
"-"
"15522938"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"15538036"
"-"
"-"
"-"
"-"
"-"
"-"
"2160133X"
"-"
"-"
"-"
"-"
"-"
"-"
"21924732, 21924740"
"10619321"
"10793739"
"00901482"
"02705214"
"-"
"15422666, 1559470X"
"-"
"-"
"1935021X, 00938297"
"00707546"
"15533468"
"16874137, 20905394"
"10998012"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"18193587, 21516065"
"19323166"
"-"
"15577112"
"00368237"
"15506533"
"15271897, 00224529"
"15525473, 03631990"
"12292893"
"19422660"
"-"
"19352212"
"23336218, 07457472"
"-"
"21649766"
"-"
"-"
"-"
"15449793"
"-"
"-"
"-"
"21509298, 21509301"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"03634655"
"21565457, 00224324"
"00222968, 15456978"
"1939067X"
"19330278, 15326306"
"-"
"-"
"20488602"
"87502186"
"20415370, 00760730"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"21683034"
"-"
"-"
"-"
"-"
"-"
"-"
"00265187"
"-"
"19301197, 19301189"
"1945760X"
"21820287"
"15566560, 15566579"
"-"
"-"
"15574989"
"03512851"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"01935933"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"00360465"
"-"
"-"
"-"
"-"
"-"
"-"
"00246859"
"15333590, 15333604"
"-"
"-"
"23415576"
"24708550, 24708542"
"19980140"
"-"
"21611734"
"-"
"19473834"
"-"
"02757664"
"07468342, 19311346"
"-"
"15325865"
"-"
"-"
"-"
"-"
"-"
"-"
"19346026, 15499715"
"19429541, 19429533"
"10678344, 02786656"
"-"
"21592144"
"17460719"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"19446489, 19307365"
"01635980"
"-"
"10615369"
"-"
"-"
"15530981, 17562597"
"21617481"
"1542166X, 19391862"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"15346714, 07990537"
"-"
"15224902"
"-"
"-"
"-"
"22150285, 15660443"
"-"
"18164935"
"-"
"-"
"-"
"-"
"-"
"19441975, 19441967"
"23043075, 23054360"
"19479263, 19479271"
"21556873, 21556881"
"-"
"2326330X"
"10636390"
"2472873X, 24728721"
"00122602"
"21674817"
"00107107"
"07421303"
"11795581"
"03646017"
"0073506X"
"00087645"
"18766595"
"00060208"
"15387305, 10897089"
"07347510"
"05175321"
"-"
"02759306"
"02642824"
"07347464"
"-"
"-"
"00287571"
"20375255, 20375263"
"15572153, 19406053"
"03630277"
"00225355"
"00303941"
"00222712"
"07436661"
"00991708"
"03618773"
"07333021"
"00831131"
"00660078"
"-"
"-"
"00405213"
"00402494"
"-"
"19339011"
"19300328"
"-"
"21915768, 21915776"
"-"
"0885923X"
"08846219"
"-"
"17931142"
"10893032"
"07425473"
"00117781"
"-"
"01458973"
"15291510, 02705346"
"00029823, 19405103, 15403084"
"23263253"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"23323205, 23323213"
"20408072, 00387134"
"-"
"-"
"-"
"-"
"-"
"07311230"
"17418399, 00274631"
"10739467"
"15214281, 15361802"
"00239283"
"10438092"
"21660123"
"00218510, 15437809"
"-"
"00181196"
"08922160, 15533905"
"15213250"
"10767975"
"24696471, 24696463"
"-"
"13439006"
"1037969X"
"15579085, 10762809"
"19372108, 00019933"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"10827307"
"13042580, 13050613"
"-"
"13582291, 20479468"
"23277920, 23278692"
"-"
"-"
"-"
"-"
"-"
"-"
"07386826"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"1687689X, 16876903"
"24057991"
"-"
"15379477, 1520281X"
"1558447X"
"00292915"
"19463170, 0163755X"
"-"
"10427961, 15272036"
"00266396"
"23741325, 15519783"
"20908423, 20908431"
"07432550, 19317662"
"-"
"-"
"10910646, 10407820"
"-"
"18159923"
"21601518"
"-"
"-"
"-"
"-"
"15344916, 10506438"
"-"
"10806598, 00267910"
"1080658X, 00267724"
"23801190, 23815329"
"17552281, 17552273"
"00403385"
"10653090"
"10980482, 25161873"
"21667233, 21667225"
"2161024X, 21610258"
"-"
"-"
"26407310, 00438006"
"19361645, 07327730"
"19321686, 19321228"
"00349631"
"15494853, 00346632"
"10521151"
"-"
"-"
"-"
"-"
"-"
"-"
"01465422"
"00300950"
"10623388"
"01489909"
"21679312, 21679320"
"87558564"
"03636941"
"07380895"
"1089652X"
"-"
"21531684"
"07350120"
"18123031"
"19479247, 19479255"
"19395833"
"10471979"
"21565295, 21565287"
"0074056X"
"19384122"
"03007162, 10806539"
"21626553, 08962960"
"00107174"
"10818693"
"00447749"
"07331290"
"10624783"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"23340053, 23340045"
"19344708"
"00208868"
"19380208, 19380194"
"2325159X, 23251581"
"21548633, 21548641"
"23272481, 23270071"
"15341836, 00989355"
"19445660, 19445679"
"00145858, 2168989X"
"01635069"
"21605076, 01976745"
"-"
"00111562, 14678705"
"10757201, 19301200"
"00093025"
"-"
"-"
"-"
"-"
"00314528, 21532109"
"05535980"
"14781913, 00274909"
"-"
"09611215"
"07484321, 15340643"
"10605487"
"14733536"
"15332748, 15332756"
"23272686, 23270144"
"19980159"
"18322077"
"2152906X, 21529078"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"15572978, 10957960"
"21690235, 21690251"
"23290072"
"1070521X"
"19473435, 19473443"
"21567964"
"1060135X"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"01484443"
"01648322"
"2193651X, 21938237"
"-"
"-"
"15574970, 15574962"
"00028738"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"00424455"
"00096881"
"19383223, 00404470"
"-"
"-"
"-"
"23323280, 23323299"
"00831093"
"21916411"
"01611852"
"15357740"
"-"
"08859248"
"10467394"
"21616302, 00381861"
"-"
"01977520"
"18250572"
"18157432"
"00333840"
"01610589"
"-"
"00487511, 10806628"
"00341967, 15546721"
"10898190"
"-"
"-"
"-"
"-"
"-"
"-"
"00319171"
"15398250"
"-"
"23278013, 2327932X"
"-"
"1536013X, 01622870"
"-"
"10688838"
"1468229X, 00182648"
"21592977"
"08824983, 19318189"
"16121384"
"-"
"-"
"00157228"
"21593078, 21587833"
"15841057, 20655002"
"08925046"
"07314906"
"18674925, 18674933"
"-"
"00081795"
"02704676"
"-"
"-"
"-"
"-"
"-"
"0549799X"
"08825165"
"-"
"00404985"
"0191085X"
"-"
"01476041"
"-"
"-"
"-"
"-"
"00254878"
"-"
"-"
"00904260"
"09300325, 21977186"
"04534387"
"21520941, 18194311"
"21661324, 21661316"
"15366006, 23282525"
"10708286"
"08998620"
"14479508, 14479559"
"23251212, 23251220"
"23247517, 23247320"
"23278722, 23277939"
"23251638, 2325162X"
"-"
"1543866X"
"-"
"-"
"-"
"00024317"
"07306784"
"0740722X"
"23249773"
"-"
"01902946"
"-"
"-"
"-"
"-"
"-"
"00276782"
"-"
"15227464, 21699488"
"-"
"-"
"03610853"
"10896287"
"15256790"
"03623300"
"00027979"
"08856028"
"02680882"
"1072303X, 15403572"
"19366264, 19453019"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"25765213"
"00431125"
"00811661"
"1527196X, 01610775"
"0095036X"
"10886222"
"00399620"
"00097527"
"00094633, 15580407"
"2327798X, 23279176"
"00078069"
"00911666"
"-"
"00075108"
"19360886, 19346832"
"0160628X"
"87561263"
"00055506"
"03602206"
"00053600"
"00945323, 21537917"
"-"
"-"
"00193062"
"-"
"1942065X"
"17418720, 15021866"
"-"
"03298213, 24690732"
"19350228, 01600923"
"-"
"15263819"
"19391633"
"03638057"
"-"
"23291249, 19448740"
"0016920X, 21693099"
"15433951, 17556333"
"-"
"-"
"15241556, 21539162"
"0270319X, 1540949X"
"00223522, 01492136"
"01649442"
"10712232"
"23793244, 23793252"
"07425562"
"00257028"
"10784950, 15325822"
"00196568"
"23254793"
"09715223"
"15219216"
"17532116"
"10773002"
"07341768"
"-"
"02724715"
"-"
"-"
"-"
"19395442"
"15232883"
"00321257"
"0032082X"
"21691908, 10407340"
"-"
"00319376"
"00317179"
"19453337, 19453345"
"02738139"
"0043373X"
"22911723"
"0361204X"
"-"
"-"
"00413674"
"10485317"
"00404748"
"01934120"
"10553134"
"01611844"
"-"
"-"
"-"
"00393819"
"07309139"
"00092630"
"20544715, 01847678"
"00070106"
"-"
"00989444"
"19317093, 21679649"
"05220653"
"00052175"
"10994130, 0273656X, 00051527"
"0004976X"
"21622574, 21622582"
"10867058, 10983376"
"00041823"
"00955809"
"0003858X"
"00038520"
"10934421"
"15274063"
"10479325"
"15441733, 15223868"
"00158259"
"-"
"-"
"10517324"
"10940529"
"-"
"15400085"
"00143006, 17522323"
"10737227"
"08919526"
"10889981"
"00134953"
"10537899"
"00269891"
"15489930"
"00768820"
"15518892"
"00262420, 15587266"
"15370240"
"15234371"
"-"
"-"
"00257206"
"0194844X"
"-"
"00255025"
"15382656"
"00253316, 21534721"
"00357995"
"0034818X"
"00978043"
"07444710"
"00344346, 23298626"
"0319485X"
"00903507"
"00935107"
"-"
"08880352"
"00331031"
"0146955X"
"03622479"
"10506527"
"00997250"
"-"
"01479156"
"21644543, 21644551"
"1062922X"
"2589790X"
"21672415"
"18911803"
"00071870"
"23759240, 23759267"
"10987371, 15291499"
"22244433, 23041455"
"10412336"
"23742267"
"21555486"
"23808977, 23808985"
"2578742X"
"23754036, 08898731"
"23738456"
"19357877, 19357885"
"21646589, 21646570"
"19396716, 19421273"
"15510123, 15510808"
"25785656"
"25895141"
"26433354"
"23799889"
"25180169, 24109991"
"25900552"
"23290056, 23290048"
"23523697, 23523689"
"26316110, 26316129"
"2590177X"
"23809450"
"07419457"
"25901397"
"25895974"
"20524986"
"00404403"
"15598136"
"19433409, 0160323X"
"2374538X"
"00366803, 19498594"
"07194242, 07194234"
"17498171"
"19410832"
"23271574, 23271590"
"20681038"
"10746005"
"21533725"
"15267539"
"25785478"
"10635734, 15433412"
"25787519"
"26659026"
"10622454"
"23791101"
"26407361, 22205438"
"23814683"
"25902393, 25902385"
"23322071, 23322144"
"23735082, 23735090"
"15581454, 15476715"
"25900595"
"23254009, 23254017"
"1076156X"
"01937197"
"1559372X, 15593738"
"23760702, 23760699"
"21544727, 21599807"
"1949260X"
"19465858, 1946584X"
"25901524"
"21538999"
"25737104, 15391590"
"21596808"
"23117761, 2311777X"
"25900420"
"23320249"
"21590524, 21588686"
"00947679"
"2166742X, 21667438"
"19363958"
"00747742"
"22285326, 20089295"
"19452020"
"23344539, 23344520"
"23315180"
"23814403, 23814381"
"23322047"
"23060646, 23069910"
"15298094"
"21654301"
"19493673"
"21582246"
"13678272"
"21554943"
"26407345, 26407337"
"15289303"
"14682338, 00198692"
"21572305"
"21514372, 21514364"
"23125659, 23124318"
"14780542"
"15280470, 25721410"
"20496060"
"0015119X, 0015120X"
"23737492"
"15312445, 17441617"
"1749852X"
"25901532"
"25901516"
"02714132, 10983627"
"23987723"
"24711888"
"23720352"
"00653276"
"00652911"
"18578365, 18578438"
"23667486"
"26394979"
"00440124, 14679736"
"00438790"
"19458134, 01963570"
"10483950"
"00433845"
"-"
"00431141"
"01487132"
"0042675X"
"21660107"
"00939722, 21507384"
"00827118"
"00413097"
"00493570"
"01950118"
"01616382"
"-"
"00397709, 19310676"
"07436831, 15493377"
"24748102, 24709506"
"2328207X, 07374453"
"00373052, 1934421X"
"00369594"
"00363529"
"10611975, 19447167"
"00358118"
"-"
"00968870"
"15227898, 08983313"
"0032860X"
"10909931"
"00325961"
"00322032"
"00484474, 21620903"
"-"
"00320188"
"00317977"
"00030627"
"01646826"
"23776528, 0006128X"
"-"
"08843848"
"01639234"
"0305876X"
"00300608"
"01977385"
"03624064"
"08922055"
"00293156"
"00292397"
"01634429"
"10520406"
"08919356, 10678352"
"21506884"
"00284866, 19372213"
"1532687X, 15396630"
"08849382"
"00831883"
"00278378"
"01917811"
"15489957, 00247413"
"00244589"
"03606325"
"-"
"-"
"0163075X"
"19400764"
"00225169"
"00431303"
"00284939"
"00262102"
"00224863"
"87551985"
"19306458, 01956051"
"15428672, 19381301"
"19386036, 00214183"
"10450920"
"-"
"02705176"
"2161427X, 15248429"
"1093328X"
"00390895"
"-"
"-"
"-"
"15274055"
"21582122"
"01492632"
"0098180X"
"01953184"
"03157997, 19392419"
"03630471"
"08996210"
"10799869"
"00134872"
"-"
"-"
"-"
"-"
"01490370"
"15252531"
"-"
"00134260"
"1943345X"
"19378157, 00126616"
"02644835"
"00958301"
"-"
"00114189"
"00111589, 15360342"
"00108049"
"10495541"
"15443469, 23806559"
"15580997, 10971467"
"00105716"
"-"
"-"
"-"
"19361637, 00104078"
"00103713"
"10860819"
"00097853, 08857024, 03600556"
"-"
"21558817"
"19447051, 00094609"
"01637169"
"00093696"
"00093068, 20476329"
"19357001"
"15432009"
"00035769"
"02721635"
"04021215"
"01608835"
"00659142, 15272125"
"10768866"
"-"
"00028541"
"0149337X"
"01499408"
"15496503, 10739300"
"02687615"
"-"
"-"
"02655004"
"-"
"03607011, 0099541X"
"01463705"
"19243642"
"22228748"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"00440078"
"10450343"
"02707993"
"15456927, 00840416"
"24702048"
"01481029"
"00393533"
"1546007X, 17546087"
"10944656"
"-"
"0038478X, 15589560"
"00384186"
"0038111X"
"26407329, 19308418"
"-"
"00377333"
"15391480, 07415842"
"05829399"
"-"
"07475284"
"05865581"
"00362255"
"15490858"
"-"
"07469179"
"02771322"
"07386532"
"21643415, 04863739"
"02751607"
"15294900"
"10738606"
"00333735"
"02729601, 10863311"
"-"
"-"
"-"
"-"
"-"
"-"
"10457097"
"21698546, 00314587"
"00314439"
"03621596"
"00311294"
"01450166"
"19333684"
"00309117"
"00308803"
"2326067X, 00787469"
"87568047"
"22138617, 00305472"
"19351623"
"00301388"
"01482076, 15338606"
"00286400"
"10682716"
"04999320"
"00274089"
"0026637X"
"0147037X, 17597595"
"1094348X, 00264326"
"10645586"
"00264040"
"00263982"
"00262293"
"08901686"
"09479163"
"00766127"
"19473613, 19370660"
"25734377"
"01619284"
"00249114"
"19476574, 21529272"
"19476566, 21539650"
"23341777, 23341785"
"08917930"
"00472433, 15413802"
"10490280"
"10731687"
"03638855, 15503275"
"00219207"
"15261018"
"23271809, 2165669X"
"21673756"
"-"
"-"
"07468709"
"2159340X, 00209643"
"08845123"
"-"
"23251166, 23251182"
"2327915X, 23277971"
"23277912, 23278676"
"23277955, 23278749"
"23270128, 23272627"
"23272457, 23270063"
"23277866, 23278560"
"23272147, 23270004"
"23270047, 23272155"
"0739098X"
"-"
"-"
"-"
"21570485"
"02726122"
"0192303X"
"15489922, 03603695"
"21614318, 10409483"
"00978663"
"15490084, 03623416"
"07315732"
"-"
"-"
"-"
"01311336, 00137456"
"10596879, 1096858X"
"-"
"-"
"-"
"21500428, 21662932"
"15233081"
"-"
"04185412"
"07416253"
"00116009"
"02787261"
"00107069"
"-"
"-"
"-"
"-"
"15337316, 00105333"
"-"
"02714159"
"02763915, 15452522"
"00696412"
"24751499, 24758469"
"08842043"
"-"
"00078549"
"05711371"
"00038113, 19435746"
"-"
"00903779"
"00036420"
"10611959"
"-"
"-"
"-"
"00030937"
"03603709"
"00981486"
"05693799"
"-"
"15542505, 1555385X"
"00658812"
"-"
"21597774, 00446394"
"05693772"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"10624732"
"19485077, 02719274"
"-"
"05846099"
"10688218"
"15298930"
"-"
"19322321"
"21680604, 21557888"
"15449998"
"-"
"-"
"19449399"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"21685266"
"00325929"
"-"
"00919578, 19419635"
"00012610"
"10499156"
"-"
"00316423"
"-"
"-"
"-"
"-"
"00298182"
"00209635"
"23277963, 23279133"
"15391450"
"14479494, 14479540"
"14479583, 14479532"
"23272376, 23270055"
"23749466"
"21551847"
"23252812, 23252820"
"-"
"18166253, 18166261"
"0018814X"
"03197336"
"1558643X"
"01464094"
"15239004"
"1062029X"
"23721901, 2372191X"
"-"
"00154199"
"0014729X"
"10954120, 24733717"
"-"
"00958948"
"-"
"-"
"-"
"18331874"
"-"
"15280187"
"-"
"07398913, 2378525X"
"00092460"
"10806512, 01612492"
"-"
"-"
"-"
"-"
"10965904"
"00419915"
"15433234"
"19395221, 1939523X"
"10706232"
"0360859X"
"15339211"
"08903670"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"19405278, 15473929"
"15432521"
"1877573X"
"-"
"-"
"15512789, 19412886"
"02624079"
"10531297"
"00263451"
"08992851"
"07452883, 07452993"
"09425373, 21974187"
"2325128X, 23251298"
"23251662, 23251670"
"21694362"
"-"
"-"
"10870652"
"08821577"
"10744770"
"00178616"
"08861242"
"00168890, 19306962"
"15393402, 15437787"
"07390041"
"-"
"21538387"
"15590585"
"-"
"00942065"
"14814374"
"00088390"
"-"
"10508171"
"-"
"00043214"
"-"
"-"
"-"
"08871493"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"01987097"
"-"
"-"
"-"
"-"
"00317047"
"00905674"
"-"
"-"
"15356574, 07409133"
"15518965"
"00281921"
"-"
"05807247"
"10408460"
"-"
"00924458"
"23277998, 23279249"
"87553449"
"00937347"
"00246921"
"00472697"
"15276457"
"03614476"
"2324755X, 23247568"
"2327011X, 23272570"
"19478585, 19478593"
"23251395, 23251379"
"-"
"00189510"
"-"
"1043321X, 18781918"
"-"
"10863141, 01640178"
"-"
"00027626"
"00447471"
"-"
"-"
"-"
"-"
